xref[mm],s[mm],p[bar],u[V],t[ms] 
4.395,1.577,3.280,0.720,10.000
4.395,1.609,3.280,0.720,10.000
4.395,1.587,3.280,0.700,10.000
4.395,1.617,3.280,0.700,10.000
4.395,1.594,3.280,0.700,10.000
4.395,1.617,3.280,0.700,10.000
4.395,1.594,3.280,0.700,10.000
4.395,1.617,3.280,0.700,10.000
4.395,1.594,3.280,0.700,10.000
4.395,1.617,3.280,0.700,10.000
4.395,1.594,3.280,0.700,10.000
4.395,1.617,3.260,0.700,10.000
4.395,1.603,3.260,0.700,10.000
4.395,1.626,3.260,0.700,10.000
4.395,1.603,3.260,0.700,10.000
4.395,1.626,3.260,0.700,10.000
4.395,1.603,3.260,0.700,10.000
4.395,1.626,3.260,0.700,10.000
4.395,1.603,3.260,0.700,10.000
4.395,1.626,3.260,0.700,10.000
4.395,1.603,3.260,0.700,10.000
4.395,1.626,3.240,0.700,10.000
4.395,1.613,3.240,0.680,10.000
4.395,1.643,3.240,0.680,10.000
4.395,1.620,3.240,0.680,10.000
4.395,1.643,3.240,0.680,10.000
4.395,1.620,3.240,0.680,10.000
4.395,1.643,3.240,0.680,10.000
4.395,1.620,3.220,0.680,10.000
4.395,1.652,3.220,0.680,10.000
4.395,1.629,3.220,0.680,10.000
4.395,1.652,3.220,0.680,10.000
4.395,1.629,3.220,0.680,10.000
4.395,1.652,3.220,0.680,10.000
4.395,1.629,3.220,0.680,10.000
4.395,1.652,3.220,0.680,10.000
4.395,1.629,3.220,0.680,10.000
4.395,1.652,3.220,0.680,10.000
4.395,1.629,3.220,0.680,10.000
4.395,1.652,3.220,0.680,10.000
4.395,1.629,3.200,0.680,10.000
4.395,1.661,3.200,0.660,10.000
4.395,1.646,3.200,0.660,10.000
4.395,1.669,3.200,0.660,10.000
4.395,1.646,3.200,0.660,10.000
4.395,1.669,3.200,0.660,10.000
4.395,1.646,3.200,0.660,10.000
4.395,1.669,3.200,0.660,10.000
4.395,1.646,3.200,0.660,10.000
4.395,1.669,3.180,0.660,10.000
4.395,1.655,3.180,0.660,10.000
4.395,1.678,3.180,0.660,10.000
4.395,1.655,3.180,0.660,10.000
4.395,1.678,3.180,0.660,10.000
4.395,1.655,3.180,0.660,10.000
4.395,1.678,3.180,0.660,10.000
4.395,1.655,3.180,0.660,10.000
4.395,1.678,3.180,0.660,10.000
4.395,1.655,3.180,0.660,10.000
4.395,1.678,3.180,0.660,10.000
4.395,1.655,3.180,0.660,10.000
4.395,1.678,3.160,0.660,10.000
4.395,1.665,3.160,0.660,10.000
4.395,1.687,3.160,0.660,10.000
4.395,1.665,3.160,0.660,10.000
4.395,1.688,3.160,0.640,10.000
4.395,1.672,3.160,0.640,10.000
4.395,1.695,3.160,0.640,10.000
4.395,1.672,3.160,0.640,10.000
4.395,1.695,3.160,0.640,10.000
4.395,1.672,3.160,0.640,10.000
4.395,1.695,3.140,0.640,10.000
4.395,1.681,3.140,0.640,10.000
